split,features,algorithm,rmse,mae,n_train,n_test
random,baseline,LinearRegression,0.9154889675908707,0.7415655275767825,328,82
random,baseline,RandomForest,0.6366382160274981,0.416773265398679,328,82
random,enhanced,LinearRegression,0.7079936070120497,0.543235997389549,328,82
random,enhanced,RandomForest,0.4879788583331713,0.3791699657239828,328,82
stint,baseline,LinearRegression,1.071363370735495,0.8663446055848038,248,162
stint,baseline,RandomForest,1.5794030509776438,1.2995399198674198,248,162
stint,enhanced,LinearRegression,0.9068463575370259,0.7032412858407211,248,162
stint,enhanced,RandomForest,1.136971973577805,0.9384439346477826,248,162
